id,completion_date,partner_name,deal_type,review_type,escalation_type,EDD_reviewer,EDD_measures,timestamp
66,07-03-2023,Partner KKK,vendor,periodic_review,feedback_review,rahil_fw,feedback_review,07-03-2023 15:00
668719e9-37db-4287-816a-b0c0ad0a02ee,12-07-2024,fallabella,imt,fresh_onboarding,pep_association,moustapha,,12-07-2024 02:21
67,08-03-2023,Partner LLL,imt,fresh_onboarding,other_red_flags,moustapha,document_review,08-03-2023 16:00
68,09-03-2023,Partner MMM,payments,periodic_review,adverse_media,laura_castillo,aml_review,09-03-2023 17:00
69,10-03-2023,Partner NNN,issuance,fresh_onboarding,high_risk,hityshi,audit_review,10-03-2023 18:00
7,07-01-2023,Partner G,issuance,fresh_onboarding,young_company,hityshi,audit_review,07-01-2023 16:00
70,11-03-2023,Partner OOO,vendor,periodic_review,pep_association,neelima_routhu,feedback_review,11-03-2023 19:00
71,12-03-2023,Partner PPP,imt,fresh_onboarding,country_risk,francis_xavier,document_review,12-03-2023 10:00
8,08-01-2023,Partner H,vendor,periodic_review,medium_risk,neelima_routhu,feedback_review,08-01-2023 17:00
8cd681a3-4a26-4bb6-8d5d-8157f6bcc378,01-07-2024,ibm,vendor,periodic_review,country_risk,moustapha,aml_review,11-07-2024 18:14
9,09-01-2023,Partner I,imt,fresh_onboarding,feedback_review,francis_xavier,document_review,09-01-2023 18:00
9535b565-2839-4a43-a9a7-3b97690761de,08-07-2024,hdfc,vendor,fresh_onboarding,other_red_flags,laura_castillo,aml_review,11-07-2024 18:14
97e2bcb9-0f80-48e6-bd55-52c8cc57fbf7,11-07-2024,aaaaaa,imt,fresh_onboarding,other_red_flags,neelima_routhu,document_review,11-07-2024 18:13
a5f51612-4c0b-40e4-afdc-d297bc476bd8,19-06-2024,hdfc pvt,imt,fresh_onboarding,pep_association,neelima_routhu,feedback_review,12-07-2024 01:59
b946cfcc-fa65-4389-9989-c48f2c568d46,01-07-2024,fallabella,vendor,periodic_review,young_company,laura_castillo,feedback_review,11-07-2024 18:15
d3d9c00d-2b92-4aa2-bd5b-b7f6c6ee6c7d,11-06-2024,fallabella,issuance,periodic_review,young_company,rahil_fw,feedback_review,11-07-2024 18:15
